2018,Oregon,52.8,11.55555556,28.79,731.266
2022,Pennsylvania,48.6,9.222222222,47.96,1218.184
2021,Pennsylvania,48.3,9.055555556,40.22,1021.588
2020,Pennsylvania,48.9,9.388888889,50.76,1289.304
2019,Pennsylvania,47.5,8.611111111,62.93,1598.422
2018,Pennsylvania,47.6,8.666666667,48.41,1229.614
2022,Rhode Island,52.4,11.33333333,53.85,1367.79
2021,Rhode Island,51.9,11.05555556,43.99,1117.346
2020,Rhode Island,52,11.11111111,52.99,1345.946
2019,Rhode Island,51,10.55555556,59.59,1513.586
2018,Rhode Island,51.4,10.77777778,55.2,1402.08
2022,South Carolina,59.5,15.27777778,43.05,1093.47
2021,South Carolina,59.2,15.11111111,58.53,1486.662
2020,South Carolina,61.2,16.22222222,52.98,1345.692
2019,South Carolina,59.9,15.5,57.74,1466.596
2018,South Carolina,59.6,15.33333333,46.13,1171.702
2022,South Dakota,47.3,8.5,17.18,436.372
2021,South Dakota,46,7.777777778,16.47,418.338
2020,South Dakota,44.2,6.777777778,29.82,757.428
2019,South Dakota,42.5,5.833333333,23.67,601.218
2018,South Dakota,44,6.666666667,18.69,474.726
2022,Tennessee,57.9,14.38888889,59.48,1510.792
2021,Tennessee,57.6,14.22222222,60.26,1530.604
2020,Tennessee,59.8,15.44444444,68.86,1749.044
2019,Tennessee,58.4,14.66666667,70.3,1785.62
2018,Tennessee,57.6,14.22222222,62.78,1594.612
2022,Texas,60,15.55555556,27.76,705.104
2021,Texas,59.7,15.38888889,23.13,587.502
2020,Texas,59.9,15.5,30.26,768.604
2019,Texas,59.7,15.38888889,32.32,820.928
2018,Texas,60,15.55555556,29.44,747.776
2022,Utah,52.3,11.27777778,12.37,314.198
2021,Utah,51.9,11.05555556,7.08,179.832
2020,Utah,50.1,10.05555556,13.52,343.408
2019,Utah,51.1,10.61111111,15.03,381.762
2018,Utah,51.6,10.88888889,9.92,251.968
2022,Vermont,43.3,6.277777778,44.24,1123.696
2021,Vermont,42.8,6,37.1,942.34
2020,Vermont,42.1,5.611111111,50.56,1284.224
2019,Vermont,40.7,4.833333333,47.42,1204.468
2018,Vermont,42.2,5.666666667,47.1,1196.34
2022,Virginia,60.1,15.61111111,40.01,1016.254
2021,Virginia,59.4,15.22222222,61.42,1560.068
2020,Virginia,61.7,16.5,45.43,1153.922
2019,Virginia,60.1,15.61111111,65.4,1661.16
2018,Virginia,59.3,15.16666667,43.76,1111.504
2022,Washington,49.1,9.5,41.55,1055.37
2021,Washington,49.3,9.611111111,42.52,1080.008
2020,Washington,49.2,9.555555556,41.33,1049.782
2019,Washington,49,9.444444444,35.91,912.114
2018,Washington,48.9,9.388888889,44.81,1138.174
2022,West Virginia,53.8,12.11111111,43.37,1101.598
2021,West Virginia,53.2,11.77777778,51.52,1308.608
2020,West Virginia,55.1,12.83333333,49.24,1250.696
2019,West Virginia,53.6,12,63.13,1603.502
2018,West Virginia,53,11.66666667,50.08,1272.032
2022,Wisconsin,42.1,5.611111111,30.6,777.24
2021,Wisconsin,42.4,5.777777778,32.72,831.088
2020,Wisconsin,41.6,5.333333333,43.72,1110.488
2019,Wisconsin,40.2,4.555555556,42.72,1085.088
2018,Wisconsin,40.7,4.833333333,42,1066.8
2022,Wyoming,38.4,3.555555556,35.84,910.336
2021,Wyoming,36.9,2.722222222,13.33,338.582
2020,Wyoming,36.2,2.333333333,11.73,297.942
2019,Wyoming,36.6,2.555555556,18.03,457.962
2018,Wyoming,37.4,3,16.17,410.718
2022,Puerto Rico,80,26.66666667,16.62,422.148
2021,Puerto Rico,80,26.66666667,31.3,795.02
2020,Puerto Rico,80,26.66666667,31.3,795.02
2019,Puerto Rico,80,26.66666667,31.3,795.02
2018,Puerto Rico,80,26.66666667,31.3,795.02
